,Age,Work_Experience,Family_Size,Gender_Male,Ever_Married_Yes,Graduated_Yes,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Spending_Score_High,Spending_Score_Low,Var_1_Cat_2,Var_1_Cat_3,Var_1_Cat_4,Var_1_Cat_5,Var_1_Cat_6,Var_1_Cat_7
30,45,0.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
31,42,1.0,2.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
32,19,1.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
34,83,1.0,2.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
35,27,3.0,4.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
36,32,5.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
37,28,1.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
38,28,8.0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
40,47,4.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41,22,0.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
42,27,14.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
44,40,8.0,1.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
46,41,0.0,4.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,19,0.0,4.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
49,45,1.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
50,61,1.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,36,1.0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,40,1.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
53,57,0.0,2.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
54,76,1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
55,32,14.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,25,9.0,4.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
58,45,1.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,48,0.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,55,9.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,74,0.0,3.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
63,56,1.0,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
64,59,7.0,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
65,25,0.0,2.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
66,31,0.0,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67,27,8.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
68,57,0.0,4.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,27,8.0,2.0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
71,51,8.0,2.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
72,47,0.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
73,33,8.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
74,56,0.0,4.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,33,0.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
76,36,0.0,2.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
77,51,4.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
78,45,2.0,2.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,30,0.0,4.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
81,26,6.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
82,63,8.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
83,35,8.0,4.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
84,19,1.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
85,32,7.0,5.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
86,52,0.0,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87,36,5.0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
88,42,7.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
89,40,0.0,2.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,39,0.0,3.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
91,47,1.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,61,1.0,2.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
93,32,1.0,2.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
94,55,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
96,38,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
97,63,0.0,2.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
98,58,1.0,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99,30,3.0,3.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,60,0.0,4.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,68,1.0,7.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
102,52,0.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
103,38,0.0,5.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
104,35,10.0,2.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
105,18,1.0,2.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
106,30,3.0,2.0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
107,86,1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
109,25,9.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
111,39,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
113,47,1.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
114,43,0.0,3.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
115,36,8.0,4.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
116,80,1.0,1.0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
117,36,0.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
119,37,1.0,2.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
120,46,0.0,3.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
121,55,1.0,4.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
122,47,9.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
123,28,1.0,3.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
124,39,9.0,2.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
125,27,1.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
127,72,0.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,28,0.0,2.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
129,35,8.0,5.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
130,39,9.0,5.0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
131,69,0.0,2.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
132,18,6.0,4.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
134,50,1.0,2.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
135,30,5.0,5.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
137,39,3.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
138,29,8.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
139,37,4.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
140,39,0.0,2.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
141,48,0.0,5.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
142,32,0.0,3.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
144,43,0.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
145,29,8.0,5.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
146,28,9.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
147,80,1.0,1.0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
148,28,7.0,4.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
149,71,6.0,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
150,67,0.0,9.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
151,26,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
152,47,0.0,2.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
153,43,2.0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
154,27,0.0,4.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
155,45,8.0,4.0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
156,76,1.0,1.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
157,43,3.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
158,78,1.0,2.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
159,35,3.0,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
160,49,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
161,25,1.0,5.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
162,37,0.0,5.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
164,60,0.0,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
165,45,5.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
166,49,9.0,3.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
167,32,0.0,5.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
168,40,0.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
169,59,2.0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
170,48,3.0,5.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
171,82,0.0,2.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
172,70,0.0,2.0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
173,31,5.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
174,72,0.0,2.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
175,50,3.0,4.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,23,11.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
177,20,2.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
178,22,4.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
179,31,8.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
180,36,7.0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,40,4.0,4.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
184,40,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
187,21,1.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
188,41,4.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
189,40,0.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
190,53,1.0,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
191,42,5.0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
192,42,8.0,2.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
194,59,7.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
195,41,1.0,3.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
196,31,0.0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
197,49,1.0,5.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
198,67,1.0,2.0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
199,35,4.0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200,26,0.0,3.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
202,25,6.0,8.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
203,39,4.0,2.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
204,63,0.0,2.0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
205,23,8.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
206,23,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
207,53,2.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
208,33,0.0,2.0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
210,69,0.0,2.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
211,37,2.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
212,20,3.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
214,49,1.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
215,18,0.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
216,52,0.0,2.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
221,28,0.0,2.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
222,28,7.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
223,20,0.0,5.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
224,27,8.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
226,45,4.0,4.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
227,25,1.0,4.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
228,40,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
232,67,0.0,2.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
234,38,9.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
235,28,0.0,4.0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
236,32,1.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
238,56,1.0,4.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
239,53,1.0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
240,57,1.0,5.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
241,59,0.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
242,25,1.0,4.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
243,59,0.0,6.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
244,36,0.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
245,37,7.0,2.0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
246,22,1.0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
247,43,1.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
248,41,1.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
249,21,0.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
251,38,8.0,1.0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
253,70,1.0,3.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
254,31,1.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
255,82,0.0,2.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
258,38,8.0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
259,18,0.0,4.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
260,50,6.0,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
262,72,1.0,3.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
264,25,1.0,7.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
265,75,2.0,2.0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
266,72,1.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
267,72,0.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
268,36,6.0,6.0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
269,40,1.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
270,28,0.0,4.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
271,28,0.0,3.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
273,43,0.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
274,35,1.0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
275,65,1.0,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
276,52,7.0,4.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
277,40,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
278,69,9.0,3.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
279,22,3.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
280,47,1.0,4.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
281,29,1.0,2.0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
282,46,1.0,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
283,32,1.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
284,38,0.0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
285,59,0.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
286,26,1.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
287,26,1.0,2.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
288,28,0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
289,53,1.0,3.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
291,27,1.0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
293,26,0.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
294,31,0.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
295,39,1.0,3.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
296,43,1.0,3.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
297,25,1.0,2.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
298,40,3.0,3.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
299,40,7.0,2.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
302,27,1.0,3.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
303,19,1.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
304,86,0.0,2.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
306,27,4.0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
307,70,0.0,2.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
308,53,8.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
313,43,0.0,4.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
314,36,6.0,3.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
315,74,0.0,2.0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
316,30,0.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
317,37,5.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
318,22,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
319,19,0.0,4.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
320,70,4.0,2.0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
321,89,13.0,1.0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
323,25,6.0,1.0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
324,45,4.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
325,35,3.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
326,37,7.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
327,39,4.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
328,32,1.0,5.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
329,62,2.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
